INFO:2025-04-30 09:00:59,719: Epoch [1/50], Step [2500/2998], Loss: 0.36554, Disc Loss: 3.86375, Dur Loss: 1.29194, CE Loss: 0.06225, Norm Loss: 0.92553, F0 Loss: 1.88270, LM Loss: 1.98381, Gen Loss: 6.78418, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000, SLoss: 0.00000, S2S Loss: 1.15675, Mono Loss: 0.04470
INFO:2025-04-30 09:04:08,919: Epoch [1/50], Step [2600/2998], Loss: 0.36068, Disc Loss: 3.82107, Dur Loss: 1.02369, CE Loss: 0.05229, Norm Loss: 1.02361, F0 Loss: 1.44058, LM Loss: 1.94215, Gen Loss: 6.77016, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000, SLoss: 0.00000, S2S Loss: 0.96462, Mono Loss: 0.05103
INFO:2025-04-30 09:07:20,724: Epoch [1/50], Step [2700/2998], Loss: 0.36832, Disc Loss: 3.86246, Dur Loss: 0.84665, CE Loss: 0.04176, Norm Loss: 0.70006, F0 Loss: 1.85052, LM Loss: 1.39773, Gen Loss: 7.14321, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000, SLoss: 0.00000, S2S Loss: 1.00538, Mono Loss: 0.03801
INFO:2025-04-30 09:10:29,718: Epoch [1/50], Step [2800/2998], Loss: 0.34497, Disc Loss: 3.94735, Dur Loss: 0.79143, CE Loss: 0.04116, Norm Loss: 0.89958, F0 Loss: 2.07026, LM Loss: 1.61315, Gen Loss: 6.73456, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000, SLoss: 0.00000, S2S Loss: 1.36066, Mono Loss: 0.03554
INFO:2025-04-30 09:13:41,427: Epoch [1/50], Step [2900/2998], Loss: 0.35679, Disc Loss: 3.71785, Dur Loss: 0.92809, CE Loss: 0.05535, Norm Loss: 0.68127, F0 Loss: 1.48184, LM Loss: 2.05174, Gen Loss: 7.34682, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000, SLoss: 0.00000, S2S Loss: 1.12748, Mono Loss: 0.04245
INFO:2025-04-30 09:19:54,286: Validation loss: 0.412, Dur loss: 0.927, F0 loss: 1.909



INFO:2025-04-30 09:23:06,887: Epoch [2/50], Step [100/2998], Loss: 0.35747, Disc Loss: 3.82685, Dur Loss: 0.87583, CE Loss: 0.04049, Norm Loss: 0.72061, F0 Loss: 1.73034, LM Loss: 1.40724, Gen Loss: 6.64179, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000, SLoss: 0.00000, S2S Loss: 1.12665, Mono Loss: 0.03704
INFO:2025-04-30 09:26:17,399: Epoch [2/50], Step [200/2998], Loss: 0.36135, Disc Loss: 3.74456, Dur Loss: 1.01215, CE Loss: 0.05150, Norm Loss: 0.89752, F0 Loss: 1.59443, LM Loss: 2.04212, Gen Loss: 6.84067, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000, SLoss: 0.00000, S2S Loss: 1.12168, Mono Loss: 0.04506
INFO:2025-04-30 09:29:28,669: Epoch [2/50], Step [300/2998], Loss: 0.34741, Disc Loss: 3.87097, Dur Loss: 1.08812, CE Loss: 0.05672, Norm Loss: 1.11468, F0 Loss: 1.92479, LM Loss: 1.45438, Gen Loss: 6.35929, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000, SLoss: 0.00000, S2S Loss: 0.96901, Mono Loss: 0.04422
INFO:2025-04-30 09:32:38,730: Epoch [2/50], Step [400/2998], Loss: 0.34917, Disc Loss: 3.72303, Dur Loss: 1.16463, CE Loss: 0.05688, Norm Loss: 0.96173, F0 Loss: 2.03779, LM Loss: 1.37628, Gen Loss: 6.64250, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000, SLoss: 0.00000, S2S Loss: 1.03698, Mono Loss: 0.06290
INFO:2025-04-30 09:35:51,347: Epoch [2/50], Step [500/2998], Loss: 0.35339, Disc Loss: 3.82581, Dur Loss: 1.02128, CE Loss: 0.06215, Norm Loss: 0.77167, F0 Loss: 2.40860, LM Loss: 1.42774, Gen Loss: 6.85715, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000, SLoss: 0.00000, S2S Loss: 0.97073, Mono Loss: 0.04994
INFO:2025-04-30 09:39:04,028: Epoch [2/50], Step [600/2998], Loss: 0.35746, Disc Loss: 3.81298, Dur Loss: 1.08550, CE Loss: 0.05238, Norm Loss: 0.73570, F0 Loss: 2.17973, LM Loss: 1.93592, Gen Loss: 7.30651, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000, SLoss: 0.00000, S2S Loss: 0.91864, Mono Loss: 0.04520
INFO:2025-04-30 09:42:14,324: Epoch [2/50], Step [700/2998], Loss: 0.35586, Disc Loss: 3.87779, Dur Loss: 1.25706, CE Loss: 0.06516, Norm Loss: 0.99277, F0 Loss: 1.76967, LM Loss: 1.91707, Gen Loss: 7.08487, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000, SLoss: 0.00000, S2S Loss: 1.02054, Mono Loss: 0.04797
INFO:2025-04-30 09:45:28,573: Epoch [2/50], Step [800/2998], Loss: 0.34670, Disc Loss: 3.82063, Dur Loss: 0.90762, CE Loss: 0.04320, Norm Loss: 0.66277, F0 Loss: 2.27984, LM Loss: 1.85824, Gen Loss: 7.23225, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000, SLoss: 0.00000, S2S Loss: 1.10363, Mono Loss: 0.04418
INFO:2025-04-30 09:48:39,288: Epoch [2/50], Step [900/2998], Loss: 0.34738, Disc Loss: 3.89639, Dur Loss: 0.93019, CE Loss: 0.04427, Norm Loss: 0.69406, F0 Loss: 1.79322, LM Loss: 1.89212, Gen Loss: 6.21465, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000, SLoss: 0.00000, S2S Loss: 0.85618, Mono Loss: 0.04786
